shop_week,date_from,date_to
200607,20060410,20060416
200608,20060417,20060423
200609,20060424,20060430
200610,20060501,20060507
200611,20060508,20060514
200612,20060515,20060521
200613,20060522,20060528
200614,20060529,20060604
200615,20060605,20060611
200616,20060612,20060618
200617,20060619,20060625
200618,20060626,20060702
200619,20060703,20060709
200620,20060710,20060716
200621,20060717,20060723
200622,20060724,20060730
200623,20060731,20060806
200624,20060807,20060813
200625,20060814,20060820
200626,20060821,20060827
200627,20060828,20060903
200628,20060904,20060910
200629,20060911,20060917
200630,20060918,20060924
200631,20060925,20061001
200632,20061002,20061008
200633,20061009,20061015
200634,20061016,20061022
200635,20061023,20061029
200636,20061030,20061105
200637,20061106,20061112
200638,20061113,20061119
200639,20061120,20061126
200640,20061127,20061203
200641,20061204,20061210
200642,20061211,20061217
200643,20061218,20061224
200644,20061225,20061231
200645,20070101,20070107
200646,20070108,20070114
200647,20070115,20070121
200648,20070122,20070128
200649,20070129,20070204
200650,20070205,20070211
200651,20070212,20070218
200652,20070219,20070225
200701,20070226,20070304
200702,20070305,20070311
200703,20070312,20070318
200704,20070319,20070325
200705,20070326,20070401
200706,20070402,20070408
200707,20070409,20070415
200708,20070416,20070422
200709,20070423,20070429
200710,20070430,20070506
200711,20070507,20070513
200712,20070514,20070520
200713,20070521,20070527
200714,20070528,20070603
200715,20070604,20070610
200716,20070611,20070617
200717,20070618,20070624
200718,20070625,20070701
200719,20070702,20070708
200720,20070709,20070715
200721,20070716,20070722
200722,20070723,20070729
200723,20070730,20070805
200724,20070806,20070812
200725,20070813,20070819
200726,20070820,20070826
200727,20070827,20070902
200728,20070903,20070909
200729,20070910,20070916
200730,20070917,20070923
200731,20070924,20070930
200732,20071001,20071007
200733,20071008,20071014
200734,20071015,20071021
200735,20071022,20071028
200736,20071029,20071104
200737,20071105,20071111
200738,20071112,20071118
200739,20071119,20071125
200740,20071126,20071202
200741,20071203,20071209
200742,20071210,20071216
200743,20071217,20071223
200744,20071224,20071230
200745,20071231,20080106
200746,20080107,20080113
200747,20080114,20080120
200748,20080121,20080127
200749,20080128,20080203
200750,20080204,20080210
200751,20080211,20080217
200752,20080218,20080224
200801,20080225,20080302
200802,20080303,20080309
200803,20080310,20080316
200804,20080317,20080323
200805,20080324,20080330
200806,20080331,20080406
200807,20080407,20080413
200808,20080414,20080420
200809,20080421,20080427
200810,20080428,20080504
200811,20080505,20080511
200812,20080512,20080518
200813,20080519,20080525
200814,20080526,20080601
200815,20080602,20080608
200816,20080609,20080615
200817,20080616,20080622
200818,20080623,20080629
200819,20080630,20080706
200820,20080707,20080713
200821,20080714,20080720
200822,20080721,20080727
200823,20080728,20080803
200824,20080804,20080810
200825,20080811,20080817
200826,20080818,20080824
200827,20080825,20080831
200828,20080901,20080907
200829,20080908,20080914
200830,20080915,20080921
200831,20080922,20080928
200832,20080929,20081005
200833,20081006,20081012
200834,20081013,20081019
200835,20081020,20081026
200836,20081027,20081102
200837,20081103,20081109
200838,20081110,20081116
200839,20081117,20081123
200840,20081124,20081130
200841,20081201,20081207
200842,20081208,20081214
200843,20081215,20081221
200844,20081222,20081228
