SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200626,20060823,4,15,1,0.3,PRD0900032,CL00163,DEP00055,G00016,D00003,CUST0000472158,MM,YF,994102000458380,L,MM,Top Up,Mixed,STORE00001,LS,E02
200626,20060821,2,13,1,0.31,PRD0900302,CL00037,DEP00010,G00004,D00002,CUST0000890061,MM,PE,994102000719678,L,MM,Top Up,Fresh,STORE00001,LS,E02
200626,20060821,2,13,3,3.45,PRD0900331,CL00163,DEP00055,G00016,D00003,CUST0000890061,MM,PE,994102000719678,L,MM,Top Up,Fresh,STORE00001,LS,E02
200626,20060823,4,15,1,0.28,PRD0900684,CL00043,DEP00011,G00004,D00002,CUST0000472158,MM,YF,994102000458380,L,MM,Top Up,Mixed,STORE00001,LS,E02
200626,20060823,4,15,1,0.97,PRD0900830,CL00043,DEP00011,G00004,D00002,CUST0000472158,MM,YF,994102000458380,L,MM,Top Up,Mixed,STORE00001,LS,E02
200626,20060823,4,15,1,1.56,PRD0900927,CL00069,DEP00020,G00007,D00002,CUST0000472158,MM,YF,994102000458380,L,MM,Top Up,Mixed,STORE00001,LS,E02
200626,20060823,4,15,1,0.9,PRD0901278,CL00045,DEP00011,G00004,D00002,CUST0000472158,MM,YF,994102000458380,L,MM,Top Up,Mixed,STORE00001,LS,E02
200626,20060823,4,15,1,0.86,PRD0901887,CL00063,DEP00019,G00007,D00002,CUST0000472158,MM,YF,994102000458380,L,MM,Top Up,Mixed,STORE00001,LS,E02
200626,20060821,2,13,1,0.92,PRD0903052,CL00031,DEP00008,G00004,D00002,CUST0000890061,MM,PE,994102000719678,L,MM,Top Up,Fresh,STORE00001,LS,E02
200626,20060823,4,15,1,1.63,PRD0903153,CL00082,DEP00023,G00007,D00002,CUST0000472158,MM,YF,994102000458380,L,MM,Top Up,Mixed,STORE00001,LS,E02
